Anaerobutyricum_soehngenii,
Phocaeicola_plebeius,
Veillonella_dispar,
Oscillospiraceae_bacterium_Marseille_Q3528,
Sutterella_wadsworthensis,
Clostridiales_Family_XIII_bacterium_BX16,
Bacteroides_finegoldii,
Gemmiger_SGB15295,
Romboutsia_timonensis,
Blautia_SGB4815,
Dorea_sp_AF36_15AT,
Coprobacter_fastidiosus,
Holdemania_filiformis,
Clostridium_sp_AM49_4BH,
GGB9534_SGB14937,
GGB3653_SGB4964,
GGB33469_SGB15236,
Akkermansia_muciniphila,
Gemmiger_SGB15299,
Megamonas_funiformis,
Clostridium_sp_AM42_4,
