feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_bacterium_AM48_27BH	Group	CTR	3.79773971625765	0.915903769990544	14	8	0.00135516359255891	0.215471011216867
Alistipes_shahii	Group	CTR	-6.72082513495029	1.5788959507987	14	13	0.00111408279693163	0.215471011216867
