"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"Ruminococcus_lactaris",0,0.00492923796731633,0,0,0,0,8.03023461301562e-05,0.0605012119742807,0.00239118087052822,0,0.00401629657491335,0,0.000652324534272855,0,0,0.003163353656563,0.00313037179279669
"Bacteroides_xylanisolvens",0.00138355347026611,0.00374303839036589,0.0405316678124693,0.000171099946283679,0.0381935207105963,0.00771383124089611,0.54999834362528,0.000304012280763151,0.00517491961964285,0.0003961299528583,0.0100354047743777,0.000535219370949969,0.0488914696760161,0.000492906629538029,0.000939219196986226,0.412601544856506,0.0142375844432744
"Clostridium_sp_AM49_4BH",0.0281489683895106,0,0,0,0.00113116766577138,0,0,0.0174992753502421,0,0,0.00598470449680075,0,0.0329191351940018,0,0,0,0.00254480373879664
"Lachnospira_sp_NSJ_43",0.0620547429442804,0.000124713598246388,0,0,0,0,0,0.000190503387553665,0.0030664495130444,0,0.00433700695282176,0,0,0.000848746852337518,0,0,3.34357313298811e-05
"GGB3256_SGB4303",0,0.00741136394933954,0,0.287835968055493,0,0.00756212700575471,0.000110221147592558,0,0.0108027947675733,0,0.0186705387724078,0,0.114199734026432,0.00024261339118757,0.00124908398852666,0,0
"Paraprevotella_clara",0.00282623048399682,0.0183092329628381,0,0.0678684937726788,3.99288881384729e-05,0.000906553665215778,0,1.93457825791405e-06,0,9.24146930788858e-06,0,0,0,0,0,0.00014734333747131,9.33661186199689e-05
"Eubacterium_SGB6276",0,0,0,0,0,0,0,0,0.00508062973276044,0,0.00369785270097661,0,0.00343645156174444,0.00378276839505958,0,0,0.0133516677815725
"Clostridium_SGB4648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0,0.00576541515295917,0,0.0024462089608443,0,0,0.00826544342660096,9.57597756167818e-05,0,0.00797389669893092,0,0.0039797774243257,0.155383762101454,0,0.0112101329911204,0.00136111279954942
"GGB9345_SGB14311",0,8.07345418811551e-05,0,0,0,0,0,0,0.0016057445632908,0,0,0,0,0,0,0,0.00364535710741123
"Odoribacter_splanchnicus",0.0287442966628566,0.00982895200601606,0,0,0.00489109297364888,0,0,0,0.0289646634826384,0.0250794195847176,0.00417789338920117,0.0053842040856181,0.0445481954344964,0.0327052673702771,0,0,0.00819739655875682
"Dorea_longicatena",0.00953388407946652,0,2.26825621478512e-05,0.00305537355973249,0.0684267934483311,0,0.00453534227189873,0,0.00374852656091064,1.49929335214472e-05,0.00242618028068343,0.00116104008175387,0.000292651236926232,0.00339029170543309,0,0,0.0100576769764503
"Parabacteroides_distasonis",0.0448498454447172,0.00520011124430853,0.000112538608233132,0.00127105747307374,0.0041105287051402,0.0249826479994176,0.0705556592688204,0.0128415667415376,0.00529108915611367,0.00015888095159394,0.125863753142549,0.174074753491875,0.10289085501634,0.0181654995197738,0.428747679957078,0.0451373543837285,0.00496249391452404
