Parameter,Value
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-2_US-CRC-3_CHN_SH-CRC-4_S0.2,"[{'dis_cosin': 0.5, 'dis_euclidean': 0.30000000000000004, 'CTR_thre': 0.30000000000000004, 'ADA_thre': 0.0}, 0.7396623504821109]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-2_US-CRC-3_CHN_SH-CRC-4_S0.3,"[{'dis_cosin': 0.30000000000000004, 'dis_euclidean': 0.7000000000000001, 'CTR_thre': 0.30000000000000004, 'ADA_thre': 0.1}, 0.7348392737978554]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-2_US-CRC-3_CHN_SH-CRC-4_S0.4,"[{'dis_cosin': 0.2, 'dis_euclidean': 0.9, 'CTR_thre': 0.2, 'ADA_thre': 0.0}, 0.6753772680215943]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-2_US-CRC-3_CHN_SH-CRC-4_S0.5,"[{'dis_cosin': 0.1, 'dis_euclidean': 0.5, 'CTR_thre': 0.1, 'ADA_thre': 0.0}, 0.6976508903786]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-2_US-CRC-3_CHN_SH-CRC-4_S0.6,"[{'dis_cosin': 0.1, 'dis_euclidean': 0.5, 'CTR_thre': 0.1, 'ADA_thre': 0.0}, 0.6976508903786]"
