Parameter,Value
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_US-CRC-3_CHN_SH-CRC-4_CHN_SH-CRC-2_CHN_WF-CRC_S0.2,"[{'dis_cosin': 0.6, 'dis_euclidean': 0.6, 'CTR_thre': 0.6000000000000001, 'ADA_thre': 0.6000000000000001}, 0.6107491805931164]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_US-CRC-3_CHN_SH-CRC-4_CHN_SH-CRC-2_CHN_WF-CRC_S0.3,"[{'dis_cosin': 0.6, 'dis_euclidean': 0.5, 'CTR_thre': 0.5, 'ADA_thre': 0.5}, 0.6808906853605619]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_US-CRC-3_CHN_SH-CRC-4_CHN_SH-CRC-2_CHN_WF-CRC_S0.4,"[{'dis_cosin': 0.6, 'dis_euclidean': 0.7000000000000001, 'CTR_thre': 0.6000000000000001, 'ADA_thre': 0.5}, 0.6836075997027129]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_US-CRC-3_CHN_SH-CRC-4_CHN_SH-CRC-2_CHN_WF-CRC_S0.5,"[{'dis_cosin': 0.9, 'dis_euclidean': 0.9, 'CTR_thre': 0.7000000000000001, 'ADA_thre': 0.7000000000000001}, 0.7085821694498478]"
FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_US-CRC-3_CHN_SH-CRC-4_CHN_SH-CRC-2_CHN_WF-CRC_S0.6,"[{'dis_cosin': 0.9, 'dis_euclidean': 0.9, 'CTR_thre': 0.7000000000000001, 'ADA_thre': 0.7000000000000001}, 0.7085821694498478]"
