feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium_sp_AF20_17LB	Group	CTR	-5.92957907872056	0.54873633089664	8	4	3.71691794645107e-05	0.0120428141465015
GGB3746_SGB5089	Group	CTR	-3.57371191819936	0.476515940901622	8	7	0.000290636152674298	0.0470830567332363
