feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Phocaeicola_vulgatus	Group	CTR	2.12101488838858	0.60725512130455	261	244	0.000574740755408402	0.101729113707287
Parabacteroides_distasonis	Group	CTR	1.8933588297533	0.541914318576216	261	226	0.000559824971730314	0.101729113707287
Prevotella_copri_clade_A	Group	CTR	-2.72865944041514	0.830995415340743	261	93	0.00116656273074614	0.137654402228045
Bacteroides_ovatus	Group	CTR	1.70515232903851	0.580408583894438	261	213	0.00360272250810931	0.220233636644466
Phascolarctobacterium_faecium	Group	CTR	2.36433676115593	0.783603541146729	261	127	0.00280478860127185	0.220233636644466
Blautia_producta	Group	CTR	0.8891909972207	0.303014922629937	261	42	0.00373277350244858	0.220233636644466
